,tweet,target
1061,cnnnews18 met his mother visited rajghat told his sidekicks to be proud of him going to jail the drama unfolded throughout the day today was no less than a blockbuster bjp has much to learn from aap manishsisodia cbi liquorscam,1
1062,alongimna most important we want him to become great leader yet simple and principled like you pmoindia amitshah jpnadda bjp4nagaland bjp4india bjp nagalandelections2023,1
1063,manish sisodiya jindabad why cbi is not questioning narendramodi for favouring adani we want to know this bjp jawab doh,1
1064,bjp has decided to strengthen 10 lakh booths and relay presidential speech from the budget session at two lakh shakti kendras across the country pragyakaushika,1
1065,delhi deputy cm manish sisodia arrested by cbi in liquor policy case ferragamoxjeno election modifearskejriwal manishsisodia bjp presidentialelection2023 cbi delhi,0
1066,who next prime minister for our country bjp sambitswaraj smritiirani india tajinderbagga elections,1
1067,last week arvind kejriwal has told that it a planned approach from narendramodi govt to place aamaadmiparty in the same bracket with others but aap is made of different soil bjp will get back with same coin very soon,1
1068,loksabha 2024 elections survey bihar bjp 14 seats 32 votes jdu 10 seats 24 votes inc 2 seats 14 votes rjd 9 seats 20 votes others 5 seats 10 votes total 40 seats,1
1069,sab manishsisodia ke picche pad jao win win situation for aap amp bjp both,1
1070,republicexclusive by vijayendra is working hard and he is getting a lot of support he should contest from shikaripura people want him to become the cm former karnataka cm bsybjp karnataka yediyurappa bjp karnatakaelections pmmodi,1
1071,republicexclusive only developmental agenda can help us get the absolute majority and it should be ignored former karnataka cm bsybjp karnataka yediyurappa bjp karnatakaelections pmmodi,1
1072,republicexclusive pm modi is the in the state of karnataka former karnataka cm bs yediyurappa karnataka yediyurappa bjp karnatakaelections pmmodi,1
1073,republicexclusive bjp will be the single largest party in karnataka former karnataka cm bs yediyurappa karnataka yediyurappa bjp karnatakaelections pmmodi,1
1074,republicexclusive former karnataka cm bs yediyurappa in an exclusive conversation with republic karnataka bjp karnatakaelections pmmodi,1
1075,as rahul gandhi fumbles between and in plenary speech bjp mocks him and congress rahulgandhi congressplenarysession speech slipoftongue satyagraha bjp video,0
1076,moronhumor marketing for modi and bjp,1
1077,10 creative tiktok video ideas for brands with examples love spiritbirdwhispers ballari logos f1testing sugoi bubblesxbible arbitrumgem tradetid ann bjp quotes scotnight explorepage twitch celsius waves cybersecurity,1
1078,i licindiaforever must share its investing trend how they invest such a big amount on a single company on on what ground bjp congressvoiceofindia jdu rjd shivsena arvindkejriwal sansad indian supremecourt nirmalasitharaman,1
1079,modi vs rss clash amitshah is no more bjp pm candidate jaishankar vs yogi journalist umapathy latest umapathy tamilkural modi amitshah bjp rss jaishankar yogiadityanath yogi journalistumapathy,0
1080,mallikarjun kharge lashes out at bharatiya janata party led central government saying people will have to strongly fight against its dictatorship to save democracy kharge bjp congress democracyindanger,1
1081,follow us for more updates sadbhavnaawaj sadbhavnaawajnews balrampur blp tulsipur tlp gonda news newsupdates shrawasti behraich bjp nehasinghrathore singernehasinghrathore singers bhojpuri bhojpurisongs,1
1082,mcexplains the killing of umesh pal a prime witness in the 2005 murder of bahujan samaj party bsp mla raju pal in prayagraj has triggered a political uproar read here umeshpalmurder uttarpradesh bjp samajwadiparty sohilsehran,0
1083,thetribunechd modi govt must act promptly 2 check any unfortunate development in near future if the troubleshooter is a bjp stooge to counter aap govt in panjab like that of congress unity amp integrity is of paramount importance,1
1084,up umeshpal rajupal bjp law and order has improved in up pm modi,1
1085,jitupatwari how amp under what provision of law was this faavda allowed inside a helicopter will you take any action or forget like you did for mannkibaat manishsisodia bjp paagalpan urvashirautela narayanrane madhyapradesh,1
1086,narendra modi to release the 13th instalment of financial benefits worth rs crore to over eight crore eligible farmers under scheme narendramodi bjp farmers kisanscheme,1
1087,middaynews rahul finally acknowledged what modi govt has achieved in kashmir bjp on his tricolour remark bjp pmmodi narendramodi pmnarendramodi rahulgandhi kashmir newsupdate,1
1088,done kasbabypollelection vote kasbaelection punebypollelection bjp ncp congress shivsena,1
1089,watch saharanpur bjp samajwadiparty,1
1090,congress president mallikarjun kharge on sunday lashed out at the bharatiya janata party bjp central government terming it as undemocratic and said people will have to strongly fight against its dictatorship to save democracy,1
1091,bjp4india narendramodi come to our village in gujarat mehsana kukarwada and see your mla politician development can you see what your politicians are doing in their areas or just watched comebjponvillage bjp bribetakerpolitician bribeingujarat bribeinbjp,1
1092,bjp continues their we will continue our satyagraha congress rahulgandhi bjp plenarysession,1
1093,ajitpj198 laxmina08495619 resurgentindia bharatwashi2 ravichiruvolu1 jagannkaushik sureshseshadri1 rameshs0007 satishrathod100 dipansuchoudhu1 pandeyamaresh4 arundeshpande20 damodarhegde4 apurvaparikh18 sweetbandit108 gauravmodified umeshctyagi chowkidarchokra gauravmodifieda bhupendra26 smdrao amitrajseth sanjays00663282 sortedeagle chander93814658 sowmiyasid mangalpande1857 amitmishra4all neerangautam rakesha12572734 visalmama drugrabhatah indianrajeshnco pallavict paraskghelaanii swee chimnibai mamataofficial yadavakhilesh bjp must become unique political party under leadership of pmmodiji pmoindia in national interests for public welfare modihaitomumkinhai hindus hinduism modi4pm2024 modigovt modi4development rss,1
1094,logic bjp minister bjp,1
1095,incindia the nation also remembers that you endangered all the lives on the indigo6e flight to trichy amp how you didnt address it with the truth you don t have the sense to not touch the emergency door also take bjp annamalai malai back to karnataka he s not needed in tamilnadu,1
1096,new milestone by bhagwantmann govt isidhumoosewala two murders killed inside in gangwar in govindwal jail speaks volumes about lawlessness nothing worst in sensitive border distt kejriwal asking for central intervention pm hm bjp ilalpura tarunchughbjp,0
1097,pmmodi has recently asked members of the bjp to reach out to the minorities including muslims political analysts believe that the move will not only help the party nationally but also boost its image internationally writes gyan verma bqopinion,1
1098,the opposition bjp in chhattisgarh shared a clip of congress leader rahulgandhi slip of tongue during a speech on the last day of his party 85th plenary session in which he described as the route to satta power,1
1099,indrani64178044 westbengal no north no south government of maamatimanush at your service always everywhere in any situation votefortmc stand against bjp dirty plan of not a single vote for riotous party bjp bengalrejectbjp didirsurakshakawach,0
1100,battakashmiri palturam nitishkumar will not do it we need a bjp government there which came rename this place back to nalanda,1
1101,those who steal money bjp mp on hemant soren appeal to bury cash gt gt watch now those steal money bjp news newsupdate latestnews todaynews breakingnews trending trendingnews headlines,0
1102,liquorscam more than 7 hours gone manishsisodia questioning still underway at cbi shares more details aap bjp delhi,1
1103,the youths in assam belonging to the muslim community are happy with the bjp government in the state claimed chief minister himantabiswasarma himantabiswa,1
1104,timesnow sambitswaraj bjp has practically handed over victory to china by this public announcement of weakness by the eam moreover you don t want to upset the 100 billion trade imbalance because your friends from gujarat stand most to gain from this india,1
1105,the saffron party has claimed that tmc activists engineered the attack a charge dubbed as baseless by the state s ruling party bjp westbengal indianews nisithpramanik,1
1106,follow us for more updates lallusinghbjp bjp4up bjpayodhya sadbhavnaawaj sadbhavnaawajnews balrampur blp tulsipur tlp gonda news newsupdates shrawasti behraich bjp bjpgovernment lallusingh ayodhya pressconfrence,1
1107,delhipolice on sunday said that they have lodged a case in connection with the ruckus created by aap and bjp councillors in the mcd house complaints were made to the delhi police by both the parties the police said that no arrest was made in the case as of now,1
1108,republicexclusive by vijayendra is working hard and he is getting a lot of support he should contest from shikaripura people want him to become the cm former karnataka cm bsybjp karnataka yediyurappa bjp karnatakaelections pmmodi,1
1109,vikaspa01157099 delhipolice cpdelhi uppolice please do tag bjp4india or bjp4up or any other bjp as they would not do anything on this does suites their vote bank,1
1110,westbengal no north no south government of maamatimanush at your service always everywhere in any situation votefortmc stand against bjp dirty plan of not a single vote for riotous party bjp bengalrejectbjp didirsurakshakawach,0
1111,breakingnews mos convoy attacked in west bengal bjp accuses tmc kamalikasengupt shares more details westbengal tmc bjp,0
1112,vibione knottyscalpel his rss bjp masters are all pedophiles yes he is giving a green signal it is well,1
1113,republicexclusive only developmental agenda can help us get the absolute majority and it should be ignored former karnataka cm bsybjp karnataka yediyurappa bjp karnatakaelections pmmodi,1
1114,rajkbhat indiatodayne no longer it amply proves that he is with himanta and bjp to safeguard his business empire that the reason he utters these nonsense before every elections aidufbjpallies,0
1115,republicexclusive pm modi is the in the state of karnataka former karnataka cm bs yediyurappa karnataka yediyurappa bjp karnatakaelections pmmodi,1
1116,republicexclusive bjp will be the single largest party in karnataka former karnataka cm bs yediyurappa karnataka yediyurappa bjp karnatakaelections pmmodi,1
1117,republicexclusive former karnataka cm bs yediyurappa in an exclusive conversation with republic tune in here to watch karnataka bjp karnatakaelections pmmodi,1
1118,the delhipolice on sunday said that they have lodged a case in connection with the ruckus created by the aap and the bjp councillors in the mcd house ommcomnews,1
1119,can bjp bring back oldpensionscheme in karnataka medical cover up to rs 25 lakh to every family freepower up to 2000 units to farmers and gas cylinder for rs 500 to poor as in rajasthan by congress offer karnatakaelection2023 election2023 bjp4karnataka,0
1120,narendramodi is this airport built for shivamogga karnataka or a gift for adani for every penny earned from karnataka gst is flowing into gujarat as funds in the last three years no development is done by bjp in bengaluru and karnataka stockmarketcrash sikhs hobi bbcdocumentary,1
1121,your addressing the bjp fear is quite visible to everyone today today the entire country has seen that you are afraid of the increasing popularity of arvindkejriwal and aap in the country aap leader atishi at a press conference in delhi atishiaap,0
1122,mehboobamufti slams bjp over kashmiripandit killing in pulwama jkpdp mehboobamufti,0
1123,narendramodi it okay for bjp politicians to cower before a bigger bully and openly admit but it will have serious consequences when a nation admits it,1
1124,what is bjp a party for apart from violent communal distress amp tension business fraud poverty amp starvation severe taxes amp inflation infrastructure built failures falling unemployment illiteracy amp supporting criminals whilst ignoring serious internal issues,0
1125,madhyapradesh bhopal gets state s first women amp policestation womenpolicestation police children woman bjp shivrajsinghchouhan,1
1126,inspiration for many despite being not well senior bjp leader and pune mp girish bapat ji arrived with oxygen cylinder at a polling booth in kasba peth to excercise his voting right kasbabypollelection pune punebypollelection bjp,1
1127,beef is our staple food bjp or congress or any other national political party can not interfere in the matter said nagaland deputy cm and senior bjp leader yanthungopatton nagalandelections2023 nagalandassemblyelections2023 nagalandpolls,1
1128,worst handling of jammukashmir after for the present bjp rss regime iphone propertytax are the priorities total letdown of the government to insulate innocent indians who are getting killed inside indian territory who is responsible for this defeat amitshah,0
1129,we kept telling you that kejriwal is funded by khalistaniterrorists amp isi sleepers sitting in uk usa amp australia he turning punjab into a khalistaniterror hub amp springboard time to crush the khalistanmovement aap arvindkejriwal modi bjp hindurashtra hindutva,0
1130,is a path to satta bjp tweets clip to mock rahul slip of tongue watch bjp congress rahulgandhi satyagrah,0
1131,priyankagandhivadra slammed the centre for using probe agencies to put pressure on congress leaders in chhattisgarh an apparent reference to recent enforcement directorate raids here in connection with an alleged illegal coal levy scam,0
1132,feeling like living in 1990 no water no internet thanks congress rajasthangovernment ashokgehlot rahulgandhi awaiting bjp back,1
1133,a wide range of voices witnesses and experts were approached and we have featured a range of opinions this includes responses from people in the bjp we offered the indian government a right to reply to the matters raised in the series it declined to respond,1
1134,bjym store room ko school batakar bjp spread lies via godimedi during gujaratelections2022 and now they are doing the same again defaming manishsisodia by implicating him in fake case despite finding nothing in raids done on him,0
1135,uttarpradesh rozgarmela pmmodi says recruitments to strengthen policeforce indianpolice police yogiadityanath bjp youth job modigovt,1
1136,telangana bsp moves are certainly bjp sponsored telanganacmo should have better counter strategy mandal2,1
1137,priyanka gandhi vadra slams bharatiya janata centre for using probe agencies to put pressure on her party leaders in chhattisgarh priyankagandhi congress bjp adanigroup,1
1138,ashoswai this is exactly what modi and his bjp government wanting and planning to do since ages they have finally done it,1
1139,bjp to continue protest till motive of nabadas murder is revealed says lop odishabytes odishabytesnews,0
1140,iman said that people were expecting the cm would speak something special for them but he continued to talk about the bjp and displayed bjp phobia to the people reports aditya nath jha,0
1141,rahul gandhi till date i have no home of my own mynewsne india congress 85thplenarysession raipur priyankagandhi bjp,0
1142,breaking bjp national spokesperson sambit patra today used the very unfortunate word mar ja modi what they are trying to show is it to hide your aap corruption aap bjp sambitswaraj,0
1143,few pictures from bjp corner meetings were vonjara basti shivajinagar yellamma basti and marredpally,1
1144,bjp to launch nationwide onecroreselfies campaign tomorrow bjp4india bjp4ind ujjwalayojana ayushmancardyojana govtschemes schemes modigovt bjpmahilamorcha womenwing womenempowerment,1
1145,watch a group of women aap protesters chanted modi mar gaya outside fatehpur beri police station accuses pmmodi of not taking action on adanigroup videoviral viral viralvideo manishsisodia aamaadmiparty protest narendramodi police politics bjp,0
1146,breaking as cbi grills delhi deputy chief minister manish sisodia in connection with liquorgate aap amp bjp trade charges aap says there no proof against sisodia so rattled if manish sisodia is innocent asks bjp manishsisodia aap bjp cbi,0
1147,and then india indian air force claimed that we shooted down f16 of pakistan and according to american statistic pakistan f16 are totally safe stay home stay safe tea is fantastic indiansurgicaldrama india airforce surgicalstrike abinandan history bjp modi,1
1148,2019 india killed his own soldiers under serious pressure that the helicopter is from pakistan the murdered soldiers pic is indiansurgicaldrama india airforce surgicalstrike abinandan history bjp modi,0
1149,cant shake the feel that bjp is in wait n watch mode for aap to play to the lowest common denominator like always on the khalistan issue too this screws up the security sitn in punjab amp aap is discredited as a national party while bjp then emerges savior conspiracytheory,1
1150,wonder why bjp running govt with a shield of old amp new pension old amp new tax old amp new when everything that old govt did was wrong do they trust their own policies congressvoiceofindia why this kolavari,1
1151,up bjp leader brother named in umesh pal murder case gt gt watch now up bjp leaders brother news newsupdate latestnews todaynews breakingnews trending trendingnews headlines,0
1152,said that congress workers have the courage to fight the bjp and that the time has come to show that courage for the sake of the country,1
1153,to use india s skills talent german ceos after meeting pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind bharatmatakijai newindia via namo app,1
1154,bjp says rahulgandhi should not worry about the country as it has emerged as a bright spot in the world,1
1155,india at forefront of leading nations with increased tuv nord chairman dirkstenkamp after meeting pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1156,ravisutanjani had it been in a non bjp ruled state the bjp would have directly attached the state govt over stone pelting calling it sponsered,1
1157,modi bjp indianarmy loc indians endia on this 27th feb a sincere advice to all indiots,1
1158,india about to take off german ceos double down on indian growth story after meeting with pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1159,bjp waits ad infinitum for rahulgandhi amp other inc leaders slips of tongue that happens with parties whose leader perpetually personifies a slip of the mind body amp soul he is an complete disaster,0
1160,westbengal no north no south government of maamatimanush at your service always everywhere in any situation votefortmc stand against bjp dirty plan of not a single vote for riotous party bjp bengalrejectbjp didirsurakshakawach,0
1161,advashutoshbjp wow unbelievable task from bjp,1
1162,follow us for more updates sadbhavnaawaj sadbhavnaawajnews balrampur blp tulsipur tlp gonda news newsupdates shrawasti behraich bjp bjpgovernment jpnadda delhi,1
1163,incindia 85th plenarysession ended on sunday with declaration asserting never to compromise with politics of amp mentioning its openness for alliances caste census in the country amp also called upon party workers to ensure poll wins,1
1164,how india became a leader in tiger conservation namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1165,top narendramodi has done this in incindia congress party tenure like a lion and rahulgandhi you did it in bjp4india bjp tenure simple evey indian is mature now,1
1166,westbengal no north no south government of maamatimanush at your service always everywhere in any situation votefortmc stand against bjp dirty plan of not a single vote for riotous party bjp tmcs bengalrejectbjp didirsurakshakawach,0
1167,liquorgate probe the country is watching bjp will suffer in 2024 because of this somnath bharti attorneybharti aap on manishsisodia questioning by cbi and share more details aap bjp,0
1168,india will show how developing economies can tackle global challenges writes union minister hardeepspuri ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbgarbharat jaihind newindia via namo app,1
1169,congress gave a call to party leaders to work with discipline and complete unity to ensure victory that will set the tone for 2024 lok sabha polls congress loksabhaelection2024 bjp kharge,1
1170,middaynews bjp tweets video clip of rahul gandhi speech to mock his slip of tongue on bjp rahulgandhi congress politics satya congressleader,0
1171,liquorgate probe war of words between aap and bjp over manishsisodia questioning by cbi aap bjp,0
1172,meghalayaassemblyelections2023 from number of polling stations to key candidates and their constituencies know everything here meghalayavidhansabhaelections conradsangma bernardmarak bjp congress npp tmc meghalaya northeastassemblyelections,1
1173,chinmayi it happened in bjp loyal state gujarat,1
1174,we are very happy to be a partner of india ceo of sap chrstnklein namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1175,if similar incident happened in bjp ruled state would the media have kept quiet like they are now punjabbachao punjab aap bdutt sakshijoshii sardesairajdeep sagarikaghose ppbajpai ajitanjum vinodkapri khanumarfa bainjal nidhi thedeshbhakt,1
1176,today in delhi a group of aap protesters outside fatehpur beri police station were heard chanting modi mar gaya slogans aapexposed aap kejriwal kejriwalexposed modi bjp politicslive dirtypolitics delhipolice delhimcd delhiriots,0
1177,republic keep in mind that a hindu nationalist majority govt is in power bjp is only good for stopping salaries of kashmiri pandits govt employees it ca protect them from islamist terrorists at their place of work or residence,0
1178,pm narendramodi ji s shivir travels from gujarat to delhi all ministries asked to hold brainstorming sessions namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1179,cong 85th plenary session ended with declaration asserting never to compromise with the politics of amp mentioning its openness for alliances caste census in the country amp also called upon the party workers to ensure poll wins,1
1180,if so then why one citizens being heard stopping regular work in sc amp granted bail in 3hrs whereas others aren t even heard by any court heaven wasn t falling if a politician not even mla denied a bail like many indian is it not a supremecourt of akbarroad bjp aapexposed,1
1181,pm narendramodi ji gifts meghalaya stole nagaland shawl to germany bundeskanzler olaf scholz history significance of souvenirs namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1182,rajesh mishra alias pappu bhartaul got a ticket from the bjp in the 2017 assembly polls and won from the bithri chainpur constituency of bareilly,1
1183,development of karnataka priority for centre pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1184,sreenshri when incindia was busy liberalising the country nd ushering india into n open developing economy bjp nd ancilliaries was busy as a termite hollowing roots of the nation,1
1185,former congress president rahulgandhi on sunday launched scathing attack on bjp while addressing the party 85th plenarysession here congressplenarysession rahulgandhi,1
1186,really why does dmk claim credit for benefits are accrued through various pradhan mantri schemes as if it were their own modi has defined a broad vision and encouraged several initiatives in pursuant to it this in no way diminished the efforts of the brothers bjp,1
1187,education should be practical says pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat jaihind newindia via namo app,1
1188,union home minister amit shah held a core committee meeting and discussed the bjp agenda and strategies to win at least 35 of the 40 lok sabha seats from bihar in the 2024 lok sabha elections reports,1
1189,king of maharashtra devendrafadnavis maharashtra mumbai bjp bmc shivsena uddhavthackeray aadityathackeray mva mahavikasaghadi ncp pune punebypollelection,1
1190,budget strengthens foundations of india s education system pm narendramodi ji namo bjp mygov indianarmy indianairforce indiannavy aatmanirbharbharat amritkaalbudget jaihind newindia via namo app,1
1191,perfectly explained bjp and ntk at the end they need blood thats it bjp ntk,1
1192,will retain power at the centre and in maharashtra in 2024 gadkari transport minister says nda government has instilled a sense of confidence in the people through its development work and good governance nitingadkari,1
1193,congress invokes nationalism in kashmiri youth unlike bjp rahul gandhi watch video bjp congress jammukashmir rahulgandhi middaynews jammuandkashmir,1
1194,cong 85th plenary session ended with declaration asserting never to compromise with the politics of amp mentioning its openness for alliances caste census in the country amp also called upon the party workers to ensure poll wins read,1
1195,uttar pradesh was once known for gangsters and a poor scenario is now identified as a state that is progressing rapidly says narendra modi narendramodi bjp,0
1196,modi threats edappadi ops to launch attack on eps amitshah demolishes admk kantharaj interview kantharaj edappadipalanisamy tamilkural opanneerselvam drkantharaj modi bjp bjptamilnadu erodebyelection annamalai,0
1197,a brawl broke out in sangvi between supporters of an independent candidate and former bjp corporators politics pune controversial bjp pune candidates politicalcontroversy,0
1198,leader after leader at the congress plenary session claimed that india has been ruined even though the world projected the country as a bright spot the bjp said on february 26 2023 targeting the opposition party,1
1199,economictimes who is funding this khalistani bjp amritpalsingh,1
1200,trulymonica who is funding this khalistani bjp amritpalsingh,1
1201,leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp bdnayak deeprss03 vmgjignesh,1
1202,trulymonica who is funding this khalistani bjp amritpalsingh,1
1203,leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp,1
1204,ashish75757575 ani vote for bjp you get congress,1
1205,as assembly elections are nearing political parties in madhyapradesh are going all out against each other and these days ruling bjp and the opposition congress are locked in a war of questions read,0
1206,free electric campaign backed my oldie soros for bjp by our dashing rahulgandhi,1
1207,bengaluru a bjp complaint may disenfranchise thousands of dalits muslims bengaluru bjp dalit muslims vibesofindia,0
1208,i have voted bypoll punebypollelection bjp rasne4kasba,1
1209,middaynews bjp doors shut for nitish kumar amit shah bjp amitshah nitishkumar maharashtranews maharashtra newsupdate shivsena,1
1210,adani is india nisith is if there an attack on nisithpramanik it an attack on a thief bengal one amp undivided that is westbengal bjp dirty trick to divide north and south bengal bengalrejectbjp,0
1211,breaking as liquorgate explodes aap follows footsteps of raises abusive slogans against pm modi aap kejriwal pmmodi bjp delhi,0
1212,jk bjp president ravinderraina blames cowardly pak ultras for pandit killing,0
1213,the government in kerala is fully corrupt they ca even build a ksc bus stand in the communist den of aalapuzha that where you have to be in awe of the bjp government at the centre look at the massive infrastructure being built across the country,1
1214,if a piece of space debree falls in india i sure the very first tweet comes from you claiming that the piece belongs to congress govt satellite launch before toomuchvikas bjp,1
1215,laxmina08495619 ajitpj198 resurgentindia bharatwashi2 ravichiruvolu1 jagannkaushik sureshseshadri1 rameshs0007 satishrathod100 dipansuchoudhu1 pandeyamaresh4 arundeshpande20 damodarhegde4 apurvaparikh18 sweetbandit108 gauravmodified umeshctyagi chowkidarchokra gauravmodifieda bhupendra26 smdrao amitrajseth sanjays00663282 sortedeagle chander93814658 sowmiyasid mangalpande1857 amitmishra4all neerangautam rakesha12572734 visalmama drugrabhatah indianrajeshnco pallavict paraskghelaanii swee chimnibai mamataofficial yadavakhilesh becoming politicians does require high qualifications but becoming statesmen require great character competence amp wisdom modiji yogiji are statesmen amp opposition parties are politicians bjp rss,1
1216,the bjp politics behind changing the name of muslim cities is rooted in its broader project of promoting hindu nationalism and the marginalization of minority communities particularly muslims aurangabad,1
1217,activist rahul premraj bhosle attacked in pune by sartansejuda category unidentified goons requesting cppunecity punecitypolice for quick action bjp bjp4india bjp4maharashtra cbawankule hmoindia pmoindia,0
1218,legallro cppunecity punecitypolice cmomaharashtra activist rahul premraj bhosle attacked in pune by sartansejuda category unidentified goons requesting cppunecity punecitypolice for quick action bjp bjp4india bjp4maharashtra cbawankule hmoindia pmoindia,0
1219,meghalayaelections2023 pmmodi lauds efforts of electioncommission pollingunit in state meghalaya meghalayaassemblyelection2023 meghalayaelections meghalayamangebjpsarkar bjp npp2023 northeast india,1
1220,advashutoshbjp altnews what is the benefit of supporting adaniscam2023 when lower bjp cadre like you are still getting rs 2 per tweet sorry,1
1221,states like chhatisgarh having low per capita income spending crores just to please party high command congressadhiveshan chhattisgarh bjp politics,1
1222,congress plenary session rahul gandhi slams bjp model asks our economy bigger when we fought britishers watch video rahulgandhi incindia congressplenarysession rahulgandhi bjp congress britishers indianeconomy,0
1223,bjp replies to rahul gandhi least congress confessed centre achievements in bjp rahulgandhi raipur,1
1224,that coz police has been playing arround delaying the trial and liars like u keep spreading lies that no one got respite from court this is the difference between aap and bjp,0
1225,yet another indictment of bjp govt authoritarian control to influence the media eco system surveys among foreign correspondents show how visa uncertainties denial of travel permits threats of deportation are used to harass and intimidate objective reporting,0
1226,as unemployment rises to record levels the only option available for survival is the mgnregs bjp govt is eliminating this lifeline first by slashing budgetary allocation and now by making a mobile app mandatory for work seekers,0
1227,tensions balakot airstrike triggered set tone for 2019 national polls in india and helped hindu nationalist bjp return to power with full majority ties nosedived further when india ended kashmir s special status in the summer of 2019,1
1228,idalippancholi minicnair also why priyanka vadra insist being called priyanka gandhi she adds gandhi 2 her children names who have nothing to do with gandhi use gandy or nehru it is nothing to do with bjp but to project 2 world that they r progeny of great mahatma gandhi,1
1229,congress leader rahul gandhi on sunday said the party will keep asking questions about gautam adani till the truth comes out gautamadani adani bjp congress rahulgandhi,1
1230,fight between the people those who do read scriptures hindumuslim india hindu muslim hindumuslimunity bjp hindumuslimbhaibhai hindumuslimlove hindutva hindustan hinduism hindumuslimekta instagram narendramodi modi covid coronavirus amitshah godimedia iskcon,0
1231,tehseenp after bjp swept up in the last loksabha elections a wise decision,1
1232,rahulgandhi congis lies defeats before bjp,0
1233,exposing also the connections of congress leader rahul gandhi china s communist party mata ki bjp bharatiajanataparty,1
1234,congress leader rahulgandhi on february 26 said the party will keep asking questions about gautamadani till the truth comes out as he flayed bjp leaders for coming out in support of the industrialist in parliament,1
1235,minicnair unnatural 2 use maiden surname why priyanka vadra insist being called priyanka gandhi she adds gandhi 2 her children names who have nothing to do with gandhi use gandy or nehru it is nothing to do with bjp but to project 2 world that they r progeny of great mahatma gandhi,1
1236,breaking as liquorgate explodes aap follows footsteps of raises abusive slogans against pm modi aap kejriwal pmmodi bjp delhi,0
1237,ashwin upadhaya ji andhrapradesh chief minister is on bail since a long time but he still continues to be chiefminister of ap you have rightly stated santri ke liye alag kanoon aur mantri ke liye alag kanoon shocking why bjp is keeping quiet,0
1238,1hiteshdixit sagarikaghose sardesairajdeep bjp4india timesofindia unnatural 2 use maiden surname why priyanka vadra insist being called priyanka gandhi she adds gandhi 2 her children names who have nothing to do with gandhi use gandy or nehru it is nothing to do with bjp but to project 2 world that they r progeny of great mahatma gandhi,1
1239,adityarajkaul he is directly citing bjp efforts in valley he is turning out to be a star campaigner again for bjp,1
1240,modinspires book stall in worldbookfair new delhi modi4pm2024 modi2024 bjp,0
1241,similarly meetings and workshops on social media will be conducted in the rest of the districts of jammukashmir as well in coming days bjp bjp4jk bjym imravinderraina tajinderbagga kapilparmar iarunprabhat mramandeep bjp4jnk bjp4india bjym,1
1242,breakingnews thana gherao of bjp in purulia for alleged attack on another mos home kamalikasengupt with the details join the broadcast with grihaatul westbengal,0
1243,pmoindia narendramodi leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp,1
1244,inauguration and laying of the foundation stone of multiple projects in the district is also part of the programme the new airport has been developed at a cost of around rs 450 crore bjp indianews shivamogga narendramodi karnataka,1
1245,the journey our prime minister shri narendramodi ji has in his life teaches us many things lt 1 gt fighting spirit lt 2 gt honesty lt 3 gt humanity lt 4 gt hard work lt 5 gt smart work lt 6 gt devotion for work really inspiredbymodi modihaitomumkinhai india bharat bjp pm,1
1246,pmoindia narendramodi leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp,1
1247,pmoindia narendramodi leader shri narendramodi ji pmoindia modihaitomumkinhai narendramodi pmo bjp bjp4india modigovt2 namoapp,1
1248,world sees india as bright spot but congress leaders claim country has been ruined bjp,0
1249,ð…ðšðœð¢ð¥ð¢ð­ðšð­ð¢ð§ð  ð…ðšð¬ð­ðžð« ðŒð¨ð¯ðžð¦ðžð§ð­ð¬ ð…ð®ð«ð§ð¢ð¬ð¡ð¢ð§ð  ð„ðšð¬ðž ð¨ðŸ ð‹ð¢ð¯ð¢ð§ð  modi govt continued infra push is helping transform india into a developed nation pmoindia narendramodi jpnadda khushsundar newindia bjp,1
1250,bjp prez jpnadda chaired a meeting with general secretaries at party hq in delhi gen secys arun singh dushyant kumar gautam d purandeswari ravi tarun chugh dilip saikia vinod tawde sunil bansal along with national general secy santosh were present in meeting,1
1251,if trinamool thinks of killing me let me know the place and time nisith pramanik nisithpramanik dinhata bjp tmc police trendingnews trendingnewstoday westbengal india,0
